dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,success,492.0
cost,activities,human_resource_count,success,3
cost,activities,inventory_cost,success,246.0
cost,activities,labor_cost,success,242.0
cost,activities,labor_cost_and_total_cost_ratio,success,0.24693877551020407
cost,activities,resource_count,success,2
cost,activities,rework_cost,success,869.0
cost,activities,rework_count,success,100
cost,activities,rework_percentage,success,0.8403361344537815
cost,activities,total_cost,success,980.0
cost,activities,total_cost_and_lead_time_ratio,success,5436.055469953775
cost,activities,total_cost_and_outcome_unit_ratio,success,0.3443429374560787
cost,activities,total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=980.0, denominator value=0.0",
cost,activities,variable_cost,success,488.0
cost,cases,automated_activity_cost,success,74.0
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,success,101.0
cost,cases,fixed_cost,success,54.0
cost,cases,human_resource_count,success,3
cost,cases,inventory_cost,success,33.0
cost,cases,labor_cost,success,49.0
cost,cases,labor_cost_and_total_cost_ratio,success,0.3602941176470588
cost,cases,maintenance_cost,success,32.0
cost,cases,missed_deadline_cost,success,0.0
cost,cases,overhead_cost,success,35.0
cost,cases,resource_count,success,2
cost,cases,rework_cost,success,104.0
cost,cases,rework_count,success,15
cost,cases,rework_percentage,success,0.7894736842105263
cost,cases,total_cost,success,136.0
cost,cases,total_cost_and_lead_time_ratio,success,4753.398058252427
cost,cases,total_cost_and_outcome_unit_ratio,success,0.30699774266365687
cost,cases,total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=136.0, denominator value=0.0",
cost,cases,transportation_cost,success,48.0
cost,cases,variable_cost,success,82.0
cost,cases,warehousing_cost,success,55.0
cost,groups,automated_activity_cost,success,225.0
cost,groups,desired_activity_count,success,6
cost,groups,direct_cost,success,287.0
cost,groups,expected_automated_activity_cost,success,75.0
cost,groups,expected_desired_activity_count,success,2.0
cost,groups,expected_direct_cost,success,95.66666666666667
cost,groups,expected_fixed_cost,success,63.333333333333336
cost,groups,expected_human_resource_count,success,3.0
cost,groups,expected_inventory_cost,success,39.0
cost,groups,expected_labor_cost,success,30.333333333333332
cost,groups,expected_labor_cost_and_total_cost_ratio,success,0.228643216080402
cost,groups,expected_maintenance_cost,success,29.333333333333332
cost,groups,expected_missed_deadline_cost,success,33.0
cost,groups,expected_overhead_cost,success,37.0
cost,groups,expected_resource_count,success,2.0
cost,groups,expected_rework_cost,success,88.0
cost,groups,expected_rework_count,success,11.0
cost,groups,expected_rework_percentage,success,0.669172932330827
cost,groups,expected_total_cost,success,132.66666666666666
cost,groups,expected_total_cost_and_lead_time_ratio,success,6368.0
cost,groups,expected_total_cost_and_outcome_unit_ratio,success,0.4627906976744186
cost,groups,expected_total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=398.0, denominator value=0.0",
cost,groups,expected_transportation_cost,success,61.333333333333336
cost,groups,expected_variable_cost,success,69.33333333333333
cost,groups,expected_warehousing_cost,success,19.666666666666668
cost,groups,fixed_cost,success,190.0
cost,groups,human_resource_and_case_count_ratio,success,3.0
cost,groups,human_resource_count,success,9
cost,groups,inventory_cost,success,117.0
cost,groups,labor_cost,success,91.0
cost,groups,labor_cost_and_total_cost_ratio,success,0.228643216080402
cost,groups,maintenance_cost,success,88.0
cost,groups,missed_deadline_cost,success,99.0
cost,groups,overhead_cost,success,111.0
cost,groups,resource_count,success,2
cost,groups,rework_cost,success,264.0
cost,groups,rework_count,success,33
cost,groups,rework_percentage,success,0.7333333333333333
cost,groups,total_cost,success,398.0
cost,groups,total_cost_and_lead_time_ratio,success,6045.569620253165
cost,groups,total_cost_and_outcome_unit_ratio,success,0.4627906976744186
cost,groups,total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=398.0, denominator value=0.0",
cost,groups,transportation_cost,success,184.0
cost,groups,variable_cost,success,208.0
cost,groups,warehousing_cost,success,59.0
cost,instances,fixed_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,success,0.0
cost,instances,inventory_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,success,0.0
cost,instances,labor_cost_and_total_cost_ratio,"Error performing indicator division. Numerator value=0.0, denominator value=0.0",
cost,instances,labor_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,success,0.0
cost,instances,total_cost_and_lead_time_ratio,"Error performing indicator division. Numerator value=0.0, denominator value=0.0",
cost,instances,total_cost_and_outcome_unit_ratio,"Error performing indicator division. Numerator value=0, denominator value=0",
cost,instances,total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=0.0, denominator value=0.0",
cost,instances,total_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,success,0.0
cost,instances,variable_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,success,0.0
flexibility,activities,activity_instance_and_human_resource_count_ratio,success,39.666666666666664
flexibility,activities,client_count,success,6
flexibility,activities,directly_follows_relations_count,success,4
flexibility,activities,human_resource_count,success,3
flexibility,cases,activity_and_role_count_ratio,success,2.0
flexibility,cases,activity_instance_and_human_resource_count_ratio,success,6.333333333333333
flexibility,cases,directly_follows_relations_and_activity_count_ratio,success,2.5
flexibility,cases,directly_follows_relations_count,success,10
flexibility,cases,human_resource_count,success,3
flexibility,cases,optional_activity_count,success,4
flexibility,cases,optionality,success,1.0
flexibility,cases,role_count,success,2
flexibility,cases,variant_case_coverage,success,0.05
flexibility,groups,activity_and_role_count_ratio,success,2.0
flexibility,groups,activity_instance_and_human_resource_count_ratio,success,5.0
flexibility,groups,client_count,success,1
flexibility,groups,directly_follows_relations_and_activity_count_ratio,success,0.9166666666666666
flexibility,groups,directly_follows_relations_count,success,11
flexibility,groups,expected_activity_and_role_count_ratio,success,2.0
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,success,5.0
flexibility,groups,expected_client_count,success,0.3333333333333333
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,success,2.0833333333333335
flexibility,groups,expected_directly_follows_relations_count,success,8.333333333333334
flexibility,groups,expected_human_resource_count,success,3.0
flexibility,groups,expected_optional_activity_count,success,4.0
flexibility,groups,expected_optionality,success,1.0
flexibility,groups,expected_role_count,success,2.0
flexibility,groups,human_resource_count,success,9
flexibility,groups,optional_activity_count,unhashable type: 'Series',
flexibility,groups,optionality,unhashable type: 'Series',
flexibility,groups,role_and_variant_count_ratio,success,1.2
flexibility,groups,role_count,success,6
flexibility,groups,variant_case_coverage,success,0.15
flexibility,groups,variant_count,success,5
general,activities,activity_instance_count,success,119
general,activities,human_resource_count,success,3
general,activities,resource_count,success,2
general,cases,activity_count,success,4
general,cases,activity_instance_count,success,19
general,cases,human_resource_count,success,3
general,cases,resource_count,success,2
general,cases,role_count,success,2
general,groups,activity_count,success,12
general,groups,activity_instance_count,success,45
general,groups,case_count,success,3
general,groups,expected_activity_count,success,4.0
general,groups,expected_activity_instance_count,success,15.0
general,groups,expected_human_resource_count,success,3.0
general,groups,expected_resource_count,success,2.0
general,groups,expected_role_count,success,2.0
