dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,activities,human_resource_count,Column 'human_resource' is not present in event log.,
cost,activities,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,activities,labor_cost,Column 'cost:labor' is not present in event log.,
cost,activities,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,activities,resource_count,success,87
cost,activities,rework_cost,Column 'cost:total' is not present in event log.,
cost,activities,rework_count,success,70
cost,activities,rework_percentage,success,0.56
cost,activities,total_cost,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,Column 'cost:total' is not present in event log.,
cost,cases,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,cases,human_resource_count,Column 'human_resource' is not present in event log.,
cost,cases,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,cases,labor_cost,Column 'cost:labor' is not present in event log.,
cost,cases,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,cases,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,cases,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,cases,overhead_cost,success,0
cost,cases,resource_count,success,1
cost,cases,rework_cost,Column 'cost:total' is not present in event log.,
cost,cases,rework_count,success,1
cost,cases,rework_percentage,success,0.3333333333333333
cost,cases,total_cost,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,cases,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,groups,automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,groups,desired_activity_count,success,7
