case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,concept:instance
Application_1000806256,A_Create Application,2016-06-01 09:03:46.811000+00:00,User_4,start,i_1
Application_1000806256,A_Create Application,2016-06-01 09:03:46.811000+00:00,User_4,complete,i_1
Application_1000806256,W_Complete application,2016-06-01 09:03:46.822000+00:00,User_4,start,i_2
Application_1000806256,W_Complete application,2016-06-01 09:03:46.822000+00:00,User_4,complete,i_2
Application_1000806256,W_Complete application,2016-06-01 09:03:46.826000+00:00,User_4,start,i_3
Application_1000806256,W_Complete application,2016-06-01 09:03:46.826000+00:00,User_4,complete,i_3
Application_1000806256,A_Concept,2016-06-01 09:03:46.830000+00:00,User_4,start,i_4
Application_1000806256,A_Concept,2016-06-01 09:03:46.830000+00:00,User_4,complete,i_4
Application_1000806256,W_Complete application,2016-06-01 09:08:42.118000+00:00,User_4,start,i_5
Application_1000806256,W_Complete application,2016-06-01 09:08:42.118000+00:00,User_4,complete,i_5
Application_1000806256,W_Complete application,2016-06-01 10:27:49.463000+00:00,User_4,start,i_6
Application_1000806256,W_Complete application,2016-06-01 10:27:49.463000+00:00,User_4,complete,i_6
Application_1000806256,A_Accepted,2016-06-01 10:40:27.073000+00:00,User_4,start,i_7
Application_1000806256,A_Accepted,2016-06-01 10:40:27.073000+00:00,User_4,complete,i_7
Application_1000806256,O_Create Offer,2016-06-01 10:42:09.215000+00:00,User_4,start,i_8
Application_1000806256,O_Create Offer,2016-06-01 10:42:09.215000+00:00,User_4,complete,i_8
Application_1000806256,O_Created,2016-06-01 10:42:10.700000+00:00,User_4,start,i_9
Application_1000806256,O_Created,2016-06-01 10:42:10.700000+00:00,User_4,complete,i_9
Application_1000806256,O_Sent (mail and online),2016-06-01 10:42:51.467000+00:00,User_4,start,i_10
Application_1000806256,O_Sent (mail and online),2016-06-01 10:42:51.467000+00:00,User_4,complete,i_10
Application_1000806256,W_Complete application,2016-06-01 10:42:51.482000+00:00,User_4,start,i_11
Application_1000806256,W_Complete application,2016-06-01 10:42:51.482000+00:00,User_4,complete,i_11
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.490000+00:00,User_4,start,i_12
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.490000+00:00,User_4,complete,i_12
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.492000+00:00,User_4,start,i_13
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.492000+00:00,User_4,complete,i_13
Application_1000806256,A_Complete,2016-06-01 10:42:51.495000+00:00,User_4,start,i_14
Application_1000806256,A_Complete,2016-06-01 10:42:51.495000+00:00,User_4,complete,i_14
Application_1000806256,W_Call after offers,2016-06-01 10:49:16.657000+00:00,User_4,start,i_15
Application_1000806256,W_Call after offers,2016-06-01 10:49:16.657000+00:00,User_4,complete,i_15
Application_1000806256,W_Call after offers,2016-06-07 06:55:04.793000+00:00,User_46,start,i_16
Application_1000806256,W_Call after offers,2016-06-07 06:55:04.793000+00:00,User_46,complete,i_16
Application_1000806256,W_Call after offers,2016-06-07 06:56:33.545000+00:00,User_46,start,i_17
Application_1000806256,W_Call after offers,2016-06-07 06:56:33.545000+00:00,User_46,complete,i_17
Application_1000806256,W_Call after offers,2016-06-15 09:40:15.370000+00:00,User_121,start,i_18
Application_1000806256,W_Call after offers,2016-06-15 09:40:15.370000+00:00,User_121,complete,i_18
Application_1000806256,W_Validate application,2016-06-15 09:40:15.408000+00:00,User_121,start,i_19
Application_1000806256,W_Validate application,2016-06-15 09:40:15.408000+00:00,User_121,complete,i_19
Application_1000806256,W_Validate application,2016-06-15 09:40:15.413000+00:00,User_121,start,i_20
Application_1000806256,W_Validate application,2016-06-15 09:40:15.413000+00:00,User_121,complete,i_20
