dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,activities,human_resource_count,Column 'human_resource' is not present in event log.,
cost,activities,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,activities,labor_cost,Column 'cost:labor' is not present in event log.,
cost,activities,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,activities,resource_count,success,25
cost,activities,rework_cost,Column 'cost:total' is not present in event log.,
cost,activities,rework_count,success,0
cost,activities,rework_percentage,success,0.0
cost,activities,total_cost,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,automated_activity_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,direct_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,fixed_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,inventory_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,labor_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,labor_cost_and_total_cost_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,cases,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,cases,overhead_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,rework_cost,Case ID Application_652823628 not found in event log.,
cost,cases,rework_count,Case ID Application_652823628 not found in event log.,
cost,cases,rework_percentage,Case ID Application_652823628 not found in event log.,
