concept:name,OfferID,OfferedAmount,case:ApplicationType,Accepted,case:LoanGoal,case:concept:name,Selected,org:resource,Action,lifecycle:transition,time:timestamp,case:RequestedAmount,FirstWithdrawalAmount,EventID,EventOrigin,CreditScore,MonthlyCost,NumberOfTerms
A_Create Application,,,New credit,,Car,Application_1875938883,,User_1,Created,complete,2016-01-13 17:31:53.676000+00:00,15000.0,,Application_1875938883,Application,,,
A_Submitted,,,New credit,,Car,Application_1875938883,,User_1,statechange,complete,2016-01-13 17:31:53.708000+00:00,15000.0,,ApplState_1800259186,Application,,,
W_Handle leads,,,New credit,,Car,Application_1875938883,,User_1,Created,schedule,2016-01-13 17:31:54.035000+00:00,15000.0,,Workitem_717115,Workflow,,,
W_Handle leads,,,New credit,,Car,Application_1875938883,,User_17,Obtained,start,2016-01-13 17:32:40.113000+00:00,15000.0,,Workitem_756900239,Workflow,,,
W_Handle leads,,,New credit,,Car,Application_1875938883,,User_1,Deleted,complete,2016-01-13 17:33:42.371000+00:00,15000.0,,Workitem_1715716407,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1875938883,,User_1,Created,schedule,2016-01-13 17:33:42.380000+00:00,15000.0,,Workitem_1632287105,Workflow,,,
A_Concept,,,New credit,,Car,Application_1875938883,,User_1,statechange,complete,2016-01-13 17:33:42.385000+00:00,15000.0,,ApplState_1336824577,Application,,,
W_Complete application,,,New credit,,Car,Application_1875938883,,User_12,Obtained,start,2016-01-14 09:04:21.846000+00:00,15000.0,,Workitem_1902559383,Workflow,,,
A_Accepted,,,New credit,,Car,Application_1875938883,,User_12,statechange,complete,2016-01-14 09:11:56.820000+00:00,15000.0,,ApplState_1325556402,Application,,,
O_Create Offer,,15000.0,New credit,True,Car,Application_1875938883,True,User_12,Created,complete,2016-01-14 09:15:45.209000+00:00,15000.0,15000.0,Offer_1976684703,Offer,885.0,300.77,56.0
O_Created,Offer_1976684703,,New credit,,Car,Application_1875938883,,User_12,statechange,complete,2016-01-14 09:15:46.702000+00:00,15000.0,,OfferState_622259041,Offer,,,
O_Sent (mail and online),Offer_1976684703,,New credit,,Car,Application_1875938883,,User_12,statechange,complete,2016-01-14 09:17:09.648000+00:00,15000.0,,OfferState_457875755,Offer,,,
W_Complete application,,,New credit,,Car,Application_1875938883,,User_12,Deleted,complete,2016-01-14 09:17:09.671000+00:00,15000.0,,Workitem_1138325856,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_12,Created,schedule,2016-01-14 09:17:09.687000+00:00,15000.0,,Workitem_695640135,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_12,Obtained,start,2016-01-14 09:17:09.693000+00:00,15000.0,,Workitem_387069593,Workflow,,,
A_Complete,,,New credit,,Car,Application_1875938883,,User_12,statechange,complete,2016-01-14 09:17:09.701000+00:00,15000.0,,ApplState_864912820,Application,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_12,Released,suspend,2016-01-14 09:18:48.497000+00:00,15000.0,,Workitem_865593236,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_43,Obtained,resume,2016-01-20 08:11:42.448000+00:00,15000.0,,Workitem_428428488,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_43,Released,suspend,2016-01-20 08:12:11.625000+00:00,15000.0,,Workitem_1106883359,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1875938883,,User_112,Deleted,ate_abort,2016-01-27 11:12:12.231000+00:00,15000.0,,Workitem_48078712,Workflow,,,
