dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,success,265.0
cost,activities,human_resource_count,success,3
cost,activities,inventory_cost,success,124.0
cost,activities,labor_cost,success,124.0
cost,activities,labor_cost_and_total_cost_ratio,success,0.24171539961013644
cost,activities,resource_count,success,2
cost,activities,rework_cost,success,365.0
cost,activities,rework_count,success,45
cost,activities,rework_percentage,success,0.703125
cost,activities,total_cost,success,513.0
cost,activities,total_cost_and_lead_time_ratio,success,2061.160714285714
cost,activities,total_cost_and_outcome_unit_ratio,success,0.44921190893169877
cost,activities,total_cost_and_service_time_ratio,success,3195.1557093425604
cost,activities,variable_cost,success,248.0
cost,cases,automated_activity_cost,success,22.0
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,success,51.0
cost,cases,fixed_cost,success,17.0
cost,cases,human_resource_count,success,3
cost,cases,inventory_cost,success,19.0
cost,cases,labor_cost,success,31.0
cost,cases,labor_cost_and_total_cost_ratio,success,0.4626865671641791
cost,cases,maintenance_cost,success,59.0
cost,cases,missed_deadline_cost,success,50.0
cost,cases,overhead_cost,success,16.0
cost,cases,resource_count,success,2
cost,cases,rework_cost,success,39.0
cost,cases,rework_count,success,5
cost,cases,rework_percentage,success,0.625
cost,cases,total_cost,success,67.0
cost,cases,total_cost_and_lead_time_ratio,success,7309.090909090909
cost,cases,total_cost_and_outcome_unit_ratio,success,0.3333333333333333
cost,cases,total_cost_and_service_time_ratio,success,7780.645161290323
cost,cases,transportation_cost,success,45.0
cost,cases,variable_cost,success,50.0
cost,cases,warehousing_cost,success,8.0
cost,groups,automated_activity_cost,success,88.0
cost,groups,desired_activity_count,success,4
cost,groups,direct_cost,success,117.0
cost,groups,expected_automated_activity_cost,success,29.333333333333332
cost,groups,expected_desired_activity_count,success,1.3333333333333333
cost,groups,expected_direct_cost,success,39.0
cost,groups,expected_fixed_cost,success,22.0
cost,groups,expected_human_resource_count,success,3.0
cost,groups,expected_inventory_cost,success,17.333333333333332
cost,groups,expected_labor_cost,success,17.0
cost,groups,expected_labor_cost_and_total_cost_ratio,success,0.30177514792899407
cost,groups,expected_maintenance_cost,success,72.0
cost,groups,expected_missed_deadline_cost,success,34.0
cost,groups,expected_overhead_cost,success,17.333333333333332
cost,groups,expected_resource_count,success,2.0
cost,groups,expected_rework_cost,success,27.0
cost,groups,expected_rework_count,success,4.333333333333333
cost,groups,expected_rework_percentage,success,0.5638888888888888
cost,groups,expected_total_cost,success,56.333333333333336
cost,groups,expected_total_cost_and_lead_time_ratio,success,3732.5153374233128
cost,groups,expected_total_cost_and_outcome_unit_ratio,success,0.30017761989342806
cost,groups,expected_total_cost_and_service_time_ratio,success,2953.3980582524273
cost,groups,expected_transportation_cost,success,45.0
cost,groups,expected_variable_cost,success,34.333333333333336
cost,groups,expected_warehousing_cost,success,31.666666666666668
cost,groups,fixed_cost,success,66.0
cost,groups,human_resource_and_case_count_ratio,success,3.0
cost,groups,human_resource_count,success,9
cost,groups,inventory_cost,success,52.0
cost,groups,labor_cost,success,51.0
cost,groups,labor_cost_and_total_cost_ratio,success,0.30177514792899407
cost,groups,maintenance_cost,success,216.0
cost,groups,missed_deadline_cost,success,102.0
cost,groups,overhead_cost,success,52.0
cost,groups,resource_count,success,2
cost,groups,rework_cost,success,81.0
cost,groups,rework_count,success,13
cost,groups,rework_percentage,success,0.5909090909090909
cost,groups,total_cost,success,169.0
cost,groups,total_cost_and_lead_time_ratio,success,2856.3380281690143
cost,groups,total_cost_and_outcome_unit_ratio,success,0.30017761989342806
cost,groups,total_cost_and_service_time_ratio,success,2953.3980582524273
cost,groups,transportation_cost,success,135.0
cost,groups,variable_cost,success,103.0
cost,groups,warehousing_cost,success,95.0
cost,instances,fixed_cost_for_single_events_of_activity_instances,success,0.0
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,success,0.0
