dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,index 0 is out of bounds for axis 0 with size 0,
cost,activities,human_resource_count,success,3
cost,activities,inventory_cost,index 0 is out of bounds for axis 0 with size 0,
cost,activities,labor_cost,index 0 is out of bounds for axis 0 with size 0,
cost,activities,labor_cost_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,activities,resource_count,success,2
cost,activities,rework_cost,index 0 is out of bounds for axis 0 with size 0,
cost,activities,rework_count,success,76
cost,activities,rework_percentage,success,0.8085106382978723
cost,activities,total_cost,index 0 is out of bounds for axis 0 with size 0,
cost,activities,total_cost_and_lead_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,activities,total_cost_and_outcome_unit_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,activities,total_cost_and_service_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,activities,variable_cost,index 0 is out of bounds for axis 0 with size 0,
cost,cases,automated_activity_cost,success,7.0
cost,cases,desired_activity_count,success,0
cost,cases,direct_cost,success,7.0
cost,cases,fixed_cost,success,2.0
cost,cases,human_resource_count,success,2
cost,cases,inventory_cost,success,1.0
cost,cases,labor_cost,success,4.0
cost,cases,labor_cost_and_total_cost_ratio,success,0.5714285714285714
cost,cases,maintenance_cost,success,51.0
cost,cases,missed_deadline_cost,success,23.0
cost,cases,overhead_cost,success,0
cost,cases,resource_count,success,2
cost,cases,rework_cost,success,1.0
cost,cases,rework_count,success,1
cost,cases,rework_percentage,success,0.5
cost,cases,total_cost,success,7.0
cost,cases,total_cost_and_lead_time_ratio,success,3150.0
cost,cases,total_cost_and_outcome_unit_ratio,"Error performing indicator division. Numerator value=7.0, denominator value=0.0",
cost,cases,total_cost_and_service_time_ratio,success,3150.0
cost,cases,transportation_cost,success,30.0
cost,cases,variable_cost,success,5.0
cost,cases,warehousing_cost,success,63.0
cost,groups,automated_activity_cost,single positional indexer is out-of-bounds,
cost,groups,desired_activity_count,success,4
cost,groups,direct_cost,single positional indexer is out-of-bounds,
cost,groups,expected_automated_activity_cost,single positional indexer is out-of-bounds,
cost,groups,expected_desired_activity_count,success,1.3333333333333333
cost,groups,expected_direct_cost,single positional indexer is out-of-bounds,
cost,groups,expected_fixed_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_human_resource_count,success,2.6666666666666665
cost,groups,expected_inventory_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_labor_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_labor_cost_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_maintenance_cost,success,36.0
cost,groups,expected_missed_deadline_cost,success,39.666666666666664
cost,groups,expected_overhead_cost,single positional indexer is out-of-bounds,
cost,groups,expected_resource_count,success,2.0
cost,groups,expected_rework_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_rework_count,success,4.666666666666667
cost,groups,expected_rework_percentage,success,0.6
cost,groups,expected_total_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_total_cost_and_lead_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_total_cost_and_outcome_unit_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_total_cost_and_service_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_transportation_cost,success,25.333333333333332
cost,groups,expected_variable_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,expected_warehousing_cost,success,21.0
cost,groups,fixed_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,human_resource_and_case_count_ratio,success,2.6666666666666665
cost,groups,human_resource_count,success,8
cost,groups,inventory_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,labor_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,labor_cost_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,maintenance_cost,success,108.0
cost,groups,missed_deadline_cost,success,119.0
cost,groups,overhead_cost,single positional indexer is out-of-bounds,
cost,groups,resource_count,success,2
cost,groups,rework_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,rework_count,success,14
cost,groups,rework_percentage,success,0.6363636363636364
cost,groups,total_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,total_cost_and_lead_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,total_cost_and_outcome_unit_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,total_cost_and_service_time_ratio,index 0 is out of bounds for axis 0 with size 0,
cost,groups,transportation_cost,success,76.0
cost,groups,variable_cost,index 0 is out of bounds for axis 0 with size 0,
cost,groups,warehousing_cost,success,63.0
cost,instances,fixed_cost_for_single_events_of_activity_instances,Instance id i_1 not found in event log.,
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,Instance id i_1 not found in event log.,
cost,instances,inventory_cost_for_single_events_of_activity_instances,Instance id i_1 not found in event log.,
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,Instance id i_1 not found in event log.,
cost,instances,labor_cost_and_total_cost_ratio,Instance id i_1 not found in event log.,
cost,instances,labor_cost_for_single_events_of_activity_instances,Instance id i_1 not found in event log.,
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,Instance id i_1 not found in event log.,
