dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,activities,human_resource_count,success,1
cost,activities,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,activities,labor_cost,Column 'cost:labor' is not present in event log.,
cost,activities,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,activities,resource_count,Column 'org:resource' is not present in event log.,
cost,activities,rework_cost,Column 'cost:total' is not present in event log.,
cost,activities,rework_count,success,0
cost,activities,rework_percentage,success,0.0
cost,activities,total_cost,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,Column 'cost:total' is not present in event log.,
cost,cases,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,cases,human_resource_count,success,4
cost,cases,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,cases,labor_cost,Column 'cost:labor' is not present in event log.,
cost,cases,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,cases,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,cases,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,cases,overhead_cost,Column 'cost:total' is not present in event log.,
cost,cases,resource_count,RESOURCE column not found in event log.,
cost,cases,rework_cost,Column 'cost:total' is not present in event log.,
cost,cases,rework_count,success,2
cost,cases,rework_percentage,success,0.4
cost,cases,total_cost,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,cases,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,groups,automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,groups,desired_activity_count,success,6
cost,groups,direct_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_desired_activity_count,success,2.0
cost,groups,expected_direct_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,groups,expected_human_resource_count,success,3.0
cost,groups,expected_inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,groups,expected_labor_cost,Column 'cost:labor' is not present in event log.,
cost,groups,expected_labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,groups,expected_maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,groups,expected_missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,groups,expected_overhead_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_resource_count,RESOURCE column not found in event log.,
cost,groups,expected_rework_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_rework_count,success,1.0
cost,groups,expected_rework_percentage,success,0.20000000000000004
cost,groups,expected_total_cost,Column 'cost:total' is not present in event log.,
cost,groups,expected_total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,groups,expected_total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,groups,expected_total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,groups,expected_transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,groups,expected_variable_cost,Column 'cost:variable' is not present in event log.,
cost,groups,expected_warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,groups,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,groups,human_resource_and_case_count_ratio,success,3.0
cost,groups,human_resource_count,success,9
cost,groups,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,groups,labor_cost,Column 'cost:labor' is not present in event log.,
cost,groups,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,groups,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,groups,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,groups,overhead_cost,Column 'cost:total' is not present in event log.,
cost,groups,resource_count,RESOURCE column not found in event log.,
cost,groups,rework_cost,Column 'cost:total' is not present in event log.,
cost,groups,rework_count,success,3
cost,groups,rework_percentage,success,0.23076923076923078
cost,groups,total_cost,Column 'cost:total' is not present in event log.,
cost,groups,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,groups,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,groups,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,groups,transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,groups,variable_cost,Column 'cost:variable' is not present in event log.,
cost,groups,warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,instances,fixed_cost_for_single_events_of_activity_instances,Column 'cost:fixed' is not present in event log.,
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:fixed' is not present in event log.,
cost,instances,inventory_cost_for_single_events_of_activity_instances,Column 'cost:inventory' is not present in event log.,
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:inventory' is not present in event log.,
cost,instances,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,instances,labor_cost_for_single_events_of_activity_instances,Column 'cost:labor' is not present in event log.,
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:labor' is not present in event log.,
cost,instances,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_for_single_events_of_activity_instances,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:total' is not present in event log.,
cost,instances,variable_cost_for_single_events_of_activity_instances,Column 'cost:variable' is not present in event log.,
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:variable' is not present in event log.,
flexibility,activities,activity_instance_and_human_resource_count_ratio,success,100.0
flexibility,activities,client_count,success,96
flexibility,activities,directly_follows_relations_count,success,0
flexibility,activities,human_resource_count,success,1
flexibility,cases,activity_and_role_count_ratio,success,1.5
flexibility,cases,activity_instance_and_human_resource_count_ratio,success,1.25
flexibility,cases,directly_follows_relations_and_activity_count_ratio,success,1.0
flexibility,cases,directly_follows_relations_count,success,3
flexibility,cases,human_resource_count,success,4
flexibility,cases,optional_activity_count,success,1
flexibility,cases,optionality,success,0.3333333333333333
flexibility,cases,role_count,success,2
flexibility,cases,variant_case_coverage,success,0.03
flexibility,groups,activity_and_role_count_ratio,success,2.5
flexibility,groups,activity_instance_and_human_resource_count_ratio,success,1.4444444444444444
flexibility,groups,client_count,success,3
flexibility,groups,directly_follows_relations_and_activity_count_ratio,success,0.5
flexibility,groups,directly_follows_relations_count,success,5
flexibility,groups,expected_activity_and_role_count_ratio,success,2.5
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,success,1.4444444444444444
flexibility,groups,expected_client_count,success,1.0
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,success,1.0
flexibility,groups,expected_directly_follows_relations_count,success,3.3333333333333335
flexibility,groups,expected_human_resource_count,success,3.0
flexibility,groups,expected_optional_activity_count,success,1.3333333333333333
flexibility,groups,expected_optionality,success,0.4
flexibility,groups,expected_role_count,success,1.3333333333333333
flexibility,groups,human_resource_count,success,9
flexibility,groups,optional_activity_count,unhashable type: 'Series',
flexibility,groups,optionality,unhashable type: 'Series',
flexibility,groups,role_and_variant_count_ratio,success,0.8
flexibility,groups,role_count,success,4
flexibility,groups,variant_case_coverage,success,0.2
flexibility,groups,variant_count,success,5
general,activities,activity_instance_count,success,100
general,activities,human_resource_count,success,1
general,activities,resource_count,Column 'org:resource' is not present in event log.,
general,cases,activity_count,success,3
general,cases,activity_instance_count,success,5
general,cases,human_resource_count,success,4
general,cases,resource_count,RESOURCE column not found in event log.,
general,cases,role_count,success,2
general,groups,activity_count,success,10
general,groups,activity_instance_count,success,13
general,groups,case_count,success,3
general,groups,expected_activity_count,success,3.3333333333333335
