dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,activities,human_resource_count,success,15
cost,activities,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,activities,labor_cost,Column 'cost:labor' is not present in event log.,
cost,activities,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,activities,resource_count,Column 'org:resource' is not present in event log.,
cost,activities,rework_cost,Column 'cost:total' is not present in event log.,
cost,activities,rework_count,success,3
cost,activities,rework_percentage,success,0.02912621359223301
cost,activities,total_cost,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,activities,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,activities,variable_cost,Column 'cost:variable' is not present in event log.,
cost,cases,automated_activity_cost,Column 'cost:total' is not present in event log.,
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,Column 'cost:total' is not present in event log.,
cost,cases,fixed_cost,Column 'cost:fixed' is not present in event log.,
cost,cases,human_resource_count,success,4
cost,cases,inventory_cost,Column 'cost:inventory' is not present in event log.,
cost,cases,labor_cost,Column 'cost:labor' is not present in event log.,
cost,cases,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,cases,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,cases,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,cases,overhead_cost,Column 'cost:total' is not present in event log.,
cost,cases,resource_count,RESOURCE column not found in event log.,
cost,cases,rework_cost,Column 'cost:total' is not present in event log.,
cost,cases,rework_count,success,0
cost,cases,rework_percentage,success,0.0
cost,cases,total_cost,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,cases,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,cases,transportation_cost,Column 'cost:transportation' is not present in event log.,
