dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,215.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,163.0,Success
cost,activities,labor_cost,111.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.227,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,255.0,Success
cost,activities,rework_count,32,Success
cost,activities,rework_percentage,0.653,Success
cost,activities,total_cost,489.0,Success
cost,activities,total_cost_and_lead_time_ratio,7755.066,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.576,Success
cost,activities,total_cost_and_service_time_ratio,,"Error performing indicator division. Numerator value=489.0, denominator value=0.0"
cost,activities,variable_cost,274.0,Success
cost,cases,automated_activity_cost,46.0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,46.0,Success
cost,cases,fixed_cost,25.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,20.0,Success
cost,cases,labor_cost,11.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.196,Success
cost,cases,maintenance_cost,69.0,Success
cost,cases,missed_deadline_cost,100.0,Success
cost,cases,overhead_cost,10.0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,26.0,Success
cost,cases,rework_count,3,Success
cost,cases,rework_percentage,0.5,Success
cost,cases,total_cost,56.0,Success
cost,cases,total_cost_and_lead_time_ratio,8064.0,Success
cost,cases,total_cost_and_outcome_unit_ratio,0.496,Success
cost,cases,total_cost_and_service_time_ratio,,"Error performing indicator division. Numerator value=56.0, denominator value=0.0"
cost,cases,transportation_cost,0.0,Success
cost,cases,variable_cost,31.0,Success
cost,cases,warehousing_cost,0.0,Success
cost,groups,automated_activity_cost,91.0,Success
cost,groups,desired_activity_count,5,Success
cost,groups,direct_cost,91.0,Success
cost,groups,expected_automated_activity_cost,30.333,Success
cost,groups,expected_desired_activity_count,1.667,Success
cost,groups,expected_direct_cost,30.333,Success
cost,groups,expected_fixed_cost,21.667,Success
cost,groups,expected_human_resource_count,2.667,Success
cost,groups,expected_inventory_cost,16.667,Success
cost,groups,expected_labor_cost,8.0,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.173,Success
cost,groups,expected_maintenance_cost,45.0,Success
cost,groups,expected_missed_deadline_cost,63.0,Success
cost,groups,expected_overhead_cost,16.0,Success
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,24.0,Success
cost,groups,expected_rework_count,4.667,Success
cost,groups,expected_rework_percentage,0.583,Success
cost,groups,expected_total_cost,46.333,Success
cost,groups,expected_total_cost_and_lead_time_ratio,5751.724,Success
cost,groups,expected_total_cost_and_outcome_unit_ratio,0.318,Success
cost,groups,expected_total_cost_and_service_time_ratio,,"Error performing indicator division. Numerator value=139.0, denominator value=0.0"
cost,groups,expected_transportation_cost,2.333,Success
cost,groups,expected_variable_cost,24.667,Success
cost,groups,expected_warehousing_cost,34.0,Success
cost,groups,fixed_cost,65.0,Success
cost,groups,human_resource_and_case_count_ratio,2.667,Success
cost,groups,human_resource_count,8,Success
cost,groups,inventory_cost,50.0,Success
cost,groups,labor_cost,24.0,Success
cost,groups,labor_cost_and_total_cost_ratio,0.173,Success
cost,groups,maintenance_cost,135.0,Success
cost,groups,missed_deadline_cost,189.0,Success
cost,groups,overhead_cost,48.0,Success
cost,groups,resource_count,2,Success
cost,groups,rework_cost,72.0,Success
cost,groups,rework_count,14,Success
cost,groups,rework_percentage,0.636,Success
cost,groups,total_cost,139.0,Success
cost,groups,total_cost_and_lead_time_ratio,483.478,Success
cost,groups,total_cost_and_outcome_unit_ratio,0.318,Success
cost,groups,total_cost_and_service_time_ratio,,"Error performing indicator division. Numerator value=139.0, denominator value=0.0"
cost,groups,transportation_cost,7.0,Success
cost,groups,variable_cost,74.0,Success
cost,groups,warehousing_cost,102.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,3.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,6.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,0.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,0.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.0,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,0.0,Success
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,0.0,Success
cost,instances,total_cost_and_lead_time_ratio,3600.0,Success
cost,instances,total_cost_and_outcome_unit_ratio,,"Error performing indicator division. Numerator value=3.0, denominator value=0"
cost,instances,total_cost_and_service_time_ratio,,"Error performing indicator division. Numerator value=3.0, denominator value=0.0"
cost,instances,total_cost_for_single_events_of_activity_instances,3.0,Success
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,6.0,Success
cost,instances,variable_cost_for_single_events_of_activity_instances,0.0,Success
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,0.0,Success
flexibility,activities,activity_instance_and_human_resource_count_ratio,16.333,Success
flexibility,activities,client_count,5,Success
flexibility,activities,directly_follows_relations_count,4,Success
flexibility,activities,human_resource_count,3,Success
flexibility,cases,activity_and_role_count_ratio,1.5,Success
flexibility,cases,activity_instance_and_human_resource_count_ratio,2.0,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.333,Success
flexibility,cases,directly_follows_relations_count,4,Success
flexibility,cases,human_resource_count,3,Success
flexibility,cases,optional_activity_count,3,Success
flexibility,cases,optionality,1.0,Success
flexibility,cases,role_count,2,Success
flexibility,cases,variant_case_coverage,0.05,Success
flexibility,groups,activity_and_role_count_ratio,1.6,Success
flexibility,groups,activity_instance_and_human_resource_count_ratio,2.75,Success
flexibility,groups,client_count,2,Success
flexibility,groups,directly_follows_relations_and_activity_count_ratio,0.875,Success
flexibility,groups,directly_follows_relations_count,7,Success
flexibility,groups,expected_activity_and_role_count_ratio,1.6,Success
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,2.75,Success
flexibility,groups,expected_client_count,0.667,Success
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,1.625,Success
flexibility,groups,expected_directly_follows_relations_count,4.333,Success
flexibility,groups,expected_human_resource_count,2.667,Success
flexibility,groups,expected_optional_activity_count,2.667,Success
flexibility,groups,expected_optionality,1.0,Success
flexibility,groups,expected_role_count,1.667,Success
flexibility,groups,human_resource_count,8,Success
flexibility,groups,optional_activity_count,3,Success
flexibility,groups,optionality,0.375,Success
flexibility,groups,role_and_variant_count_ratio,1.667,Success
flexibility,groups,role_count,5,Success
flexibility,groups,variant_case_coverage,0.15,Success
flexibility,groups,variant_count,3,Success
general,activities,activity_instance_count,49,Success
general,activities,human_resource_count,3,Success
general,activities,resource_count,2,Success
general,cases,activity_count,3,Success
general,cases,activity_instance_count,6,Success
general,cases,human_resource_count,3,Success
general,cases,resource_count,2,Success
general,cases,role_count,2,Success
general,groups,activity_count,8,Success
general,groups,activity_instance_count,22,Success
general,groups,case_count,3,Success
general,groups,expected_activity_count,2.667,Success
general,groups,expected_activity_instance_count,7.333,Success
general,groups,expected_human_resource_count,2.667,Success
general,groups,expected_resource_count,2.0,Success
general,groups,expected_role_count,1.667,Success
general,groups,human_resource_count,8,Success
general,groups,resource_count,6,Success
general,groups,role_count,5,Success
quality,activities,activity_instance_count_by_human_resource,19,Success
quality,activities,client_count_and_total_cost_ratio,0.01,Success
quality,activities,human_resource_count,3,Success
quality,activities,outcome_unit_count,849.0,Success
quality,activities,rework_count,32,Success
quality,activities,rework_count_by_value,32,Success
quality,activities,rework_percentage,0.653,Success
quality,activities,rework_percentage_by_value,0.653,Success
quality,activities,rework_time,0 days 00:02:38,Success
quality,activities,successful_outcome_unit_count,582.0,Success
quality,activities,successful_outcome_unit_percentage,0.686,Success
quality,activities,total_cost_and_client_count_ratio,97.8,Success
quality,cases,activity_instance_count_by_human_resource,2,Success
quality,cases,activity_instance_count_by_role,4,Success
quality,cases,automated_activity_count,2,Success
quality,cases,automated_activity_instance_count,4,Success
quality,cases,desired_activity_count,2,Success
quality,cases,human_resource_count,3,Success
quality,cases,non_automated_activity_count,1,Success
quality,cases,non_automated_activity_instance_count,2,Success
quality,cases,outcome_unit_count,113.0,Success
quality,cases,overall_quality,4.0,Success
quality,cases,repeatability,0.5,Success
quality,cases,rework_count,3,Success
quality,cases,rework_count_by_value,3,Success
quality,cases,rework_of_activities_subset,2,Success
quality,cases,rework_percentage,0.5,Success
quality,cases,rework_percentage_by_value,0.5,Success
quality,cases,rework_time,0 days 00:00:17,Success
quality,cases,successful_outcome_unit_count,113.0,Success
quality,cases,successful_outcome_unit_percentage,1.0,Success
quality,cases,unwanted_activity_count,2,Success
quality,cases,unwanted_activity_instance_count,4,Success
quality,cases,unwanted_activity_instance_percentage,0.667,Success
quality,cases,unwanted_activity_percentage,0.667,Success
quality,groups,activity_instance_count_by_human_resource,7,Success
quality,groups,activity_instance_count_by_role,17,Success
quality,groups,automated_activity_count,2,Success
quality,groups,automated_activity_instance_count,13,Success
quality,groups,case_and_client_count_ratio,1.5,Success
quality,groups,case_count_where_activity_after_time_frame,1,Success
quality,groups,case_count_where_activity_before_time_frame,1,Success
quality,groups,case_count_where_activity_during_time_frame,0,Success
quality,groups,case_count_where_end_activity_is_a,0,Success
quality,groups,case_count_where_start_activity_is_a,1,Success
quality,groups,case_count_with_rework,3,Success
quality,groups,case_percentage_where_activity_after_time_frame,0.333,Success
quality,groups,case_percentage_where_activity_before_time_frame,0.333,Success
quality,groups,case_percentage_where_activity_during_time_frame,0.0,Success
quality,groups,case_percentage_where_end_activity_is_a,0.0,Success
quality,groups,case_percentage_where_start_activity_is_a,0.333,Success
quality,groups,case_percentage_with_missed_deadline,1,Success
quality,groups,case_percentage_with_rework,1.0,Success
quality,groups,client_count_and_total_cost_ratio,0.014,Success
quality,groups,desired_activity_count,2,Success
quality,groups,expected_activity_instance_count_by_human_resource,2.333,Success
quality,groups,expected_activity_instance_count_by_role,5.667,Success
quality,groups,expected_automated_activity_count,1.667,Success
quality,groups,expected_automated_activity_instance_count,4.333,Success
quality,groups,expected_client_count_and_total_cost_ratio,0.014,Success
quality,groups,expected_desired_activity_count,0.227,Success
quality,groups,expected_human_resource_count,0.364,Success
quality,groups,expected_non_automated_activity_count,0.136,Success
quality,groups,expected_non_automated_activity_instance_count,3.0,Success
quality,groups,expected_outcome_unit_count,145.667,Success
quality,groups,expected_overall_quality,2.667,Success
quality,groups,expected_repeatability,0.636,Success
quality,groups,expected_rework_count,4.667,Success
quality,groups,expected_rework_count_by_value,4.667,Success
quality,groups,expected_rework_of_activities_subset,2.667,Success
quality,groups,expected_rework_percentage,0.583,Success
quality,groups,expected_rework_percentage_by_value,0.583,Success
quality,groups,expected_rework_time,0 days 00:00:23,Success
quality,groups,expected_successful_outcome_unit_count,136.333,Success
quality,groups,expected_successful_outcome_unit_percentage,0.938,Success
quality,groups,expected_total_cost_and_client_count_ratio,0.014,Success
quality,groups,expected_unwanted_activity_count,5,Success
quality,groups,expected_unwanted_activity_instance_count,4.333,Success
quality,groups,expected_unwanted_activity_instance_percentage,0.583,Success
quality,groups,expected_unwanted_activity_percentage,0.611,Success
quality,groups,human_resource_count,3,Success
quality,groups,non_automated_activity_count,1,Success
quality,groups,non_automated_activity_instance_count,9,Success
quality,groups,outcome_unit_count,437.0,Success
quality,groups,repeatability,0.636,Success
quality,groups,rework_count,14,Success
quality,groups,rework_count_by_value,14,Success
quality,groups,rework_of_activities_subset,8,Success
quality,groups,rework_percentage,0.636,Success
quality,groups,rework_percentage_by_value,0.636,Success
quality,groups,rework_time,0 days 00:01:09,Success
quality,groups,successful_outcome_unit_count,409.0,Success
quality,groups,successful_outcome_unit_percentage,0.936,Success
quality,groups,total_cost_and_client_count_ratio,0.014,Success
quality,groups,unwanted_activity_count,2,Success
quality,groups,unwanted_activity_instance_count,13,Success
quality,groups,unwanted_activity_instance_percentage,0.591,Success
quality,groups,unwanted_activity_percentage,0.25,Success
quality,instances,outcome_unit_count_for_single_events_of_activity_instances,0.0,Success
quality,instances,outcome_unit_count_for_sum_of_all_events_of_activity_instances,0.0,Success
quality,instances,successful_outcome_unit_count,0.0,Success
quality,instances,successful_outcome_unit_percentage,,"Error performing indicator division. Numerator value=0.0, denominator value=0.0"
time,activities,lead_time,0 days 00:03:47,Success
time,activities,service_and_lead_time_ratio,0.0,Success
time,activities,service_time,0 days 00:00:00,Success
time,activities,waiting_time,0 days 00:03:47,Success
time,cases,active_time,,"Error performing indicator division. Numerator value=0 days 00:00:06, denominator value=0"
time,cases,activity_count,3,Success
