case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,concept:instance
Application_1000806256,A_Create Application,2016-06-01 09:03:46.811,User_4,start,i_1
Application_1000806256,A_Create Application,2016-06-01 09:03:46.811,User_4,complete,i_1
Application_1000806256,W_Complete application,2016-06-01 09:03:46.822,User_4,start,i_2
Application_1000806256,W_Complete application,2016-06-01 09:03:46.822,User_4,complete,i_2
Application_1000806256,W_Complete application,2016-06-01 09:03:46.826,User_4,start,i_3
Application_1000806256,W_Complete application,2016-06-01 09:03:46.826,User_4,complete,i_3
Application_1000806256,A_Concept,2016-06-01 09:03:46.830,User_4,start,i_4
Application_1000806256,A_Concept,2016-06-01 09:03:46.830,User_4,complete,i_4
Application_1000806256,W_Complete application,2016-06-01 09:08:42.118,User_4,start,i_5
Application_1000806256,W_Complete application,2016-06-01 09:08:42.118,User_4,complete,i_5
Application_1000806256,W_Complete application,2016-06-01 10:27:49.463,User_4,start,i_6
Application_1000806256,W_Complete application,2016-06-01 10:27:49.463,User_4,complete,i_6
Application_1000806256,A_Accepted,2016-06-01 10:40:27.073,User_4,start,i_7
Application_1000806256,A_Accepted,2016-06-01 10:40:27.073,User_4,complete,i_7
Application_1000806256,O_Create Offer,2016-06-01 10:42:09.215,User_4,start,i_8
Application_1000806256,O_Create Offer,2016-06-01 10:42:09.215,User_4,complete,i_8
Application_1000806256,O_Created,2016-06-01 10:42:10.700,User_4,start,i_9
Application_1000806256,O_Created,2016-06-01 10:42:10.700,User_4,complete,i_9
Application_1000806256,O_Sent (mail and online),2016-06-01 10:42:51.467,User_4,start,i_10
Application_1000806256,O_Sent (mail and online),2016-06-01 10:42:51.467,User_4,complete,i_10
Application_1000806256,W_Complete application,2016-06-01 10:42:51.482,User_4,start,i_11
Application_1000806256,W_Complete application,2016-06-01 10:42:51.482,User_4,complete,i_11
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.490,User_4,start,i_12
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.490,User_4,complete,i_12
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.492,User_4,start,i_13
Application_1000806256,W_Call after offers,2016-06-01 10:42:51.492,User_4,complete,i_13
Application_1000806256,A_Complete,2016-06-01 10:42:51.495,User_4,start,i_14
