dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,48.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,18.0,Success
cost,activities,labor_cost,9.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.12,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,25.0,Success
cost,activities,rework_count,4,Success
cost,activities,rework_percentage,0.308,Success
cost,activities,total_cost,75.0,Success
cost,activities,total_cost_and_lead_time_ratio,1942.446,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.62,Success
cost,activities,total_cost_and_service_time_ratio,8709.677,Success
cost,activities,variable_cost,27.0,Success
cost,cases,automated_activity_cost,13.0,Success
cost,cases,desired_activity_count,3,Success
cost,cases,direct_cost,13.0,Success
cost,cases,fixed_cost,4.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,0,Success
cost,cases,labor_cost,9.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.692,Success
cost,cases,maintenance_cost,67.0,Success
cost,cases,missed_deadline_cost,49.0,Success
cost,cases,overhead_cost,0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,3.0,Success
cost,cases,rework_count,3,Success
cost,cases,rework_percentage,0.5,Success
cost,cases,total_cost,13.0,Success
cost,cases,total_cost_and_lead_time_ratio,1141.463,Success
cost,cases,total_cost_and_outcome_unit_ratio,0.073,Success
cost,cases,total_cost_and_service_time_ratio,995.745,Success
cost,cases,transportation_cost,18.0,Success
cost,cases,variable_cost,9.0,Success
cost,cases,warehousing_cost,65.0,Success
cost,groups,automated_activity_cost,132.0,Success
cost,groups,desired_activity_count,8,Success
cost,groups,direct_cost,132.0,Success
cost,groups,expected_automated_activity_cost,44.0,Success
cost,groups,expected_desired_activity_count,2.667,Success
cost,groups,expected_direct_cost,44.0,Success
cost,groups,expected_fixed_cost,39.0,Success
cost,groups,expected_human_resource_count,3.0,Success
cost,groups,expected_inventory_cost,4.0,Success
cost,groups,expected_labor_cost,14.333,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.25,Success
cost,groups,expected_maintenance_cost,41.667,Success
cost,groups,expected_missed_deadline_cost,26.667,Success
cost,groups,expected_overhead_cost,13.333,Success
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,37.333,Success
cost,groups,expected_rework_count,6.0,Success
cost,groups,expected_rework_percentage,0.622,Success
cost,groups,expected_total_cost,57.333,Success
cost,groups,expected_total_cost_and_lead_time_ratio,3918.987,Success
cost,groups,expected_total_cost_and_outcome_unit_ratio,0.431,Success
cost,groups,expected_total_cost_and_service_time_ratio,3258.947,Success
cost,groups,expected_transportation_cost,6.0,Success
cost,groups,expected_variable_cost,18.333,Success
cost,groups,expected_warehousing_cost,33.0,Success
cost,groups,fixed_cost,117.0,Success
cost,groups,human_resource_and_case_count_ratio,3.0,Success
cost,groups,human_resource_count,9,Success
cost,groups,inventory_cost,12.0,Success
cost,groups,labor_cost,43.0,Success
cost,groups,labor_cost_and_total_cost_ratio,0.25,Success
cost,groups,maintenance_cost,125.0,Success
cost,groups,missed_deadline_cost,80.0,Success
cost,groups,overhead_cost,40.0,Success
cost,groups,resource_count,2,Success
cost,groups,rework_cost,112.0,Success
cost,groups,rework_count,18,Success
cost,groups,rework_percentage,0.643,Success
cost,groups,total_cost,172.0,Success
cost,groups,total_cost_and_lead_time_ratio,915.976,Success
cost,groups,total_cost_and_outcome_unit_ratio,0.431,Success
cost,groups,total_cost_and_service_time_ratio,3258.947,Success
cost,groups,transportation_cost,18.0,Success
cost,groups,variable_cost,55.0,Success
cost,groups,warehousing_cost,99.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,8.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,2.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,4.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.7,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,14.0,Success
