dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,,index 0 is out of bounds for axis 0 with size 0
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,,index 0 is out of bounds for axis 0 with size 0
cost,activities,labor_cost,,index 0 is out of bounds for axis 0 with size 0
cost,activities,labor_cost_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,activities,resource_count,2,Success
cost,activities,rework_cost,,index 0 is out of bounds for axis 0 with size 0
cost,activities,rework_count,5,Success
cost,activities,rework_percentage,0.278,Success
cost,activities,total_cost,,index 0 is out of bounds for axis 0 with size 0
cost,activities,total_cost_and_lead_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,activities,total_cost_and_outcome_unit_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,activities,total_cost_and_service_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,activities,variable_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,automated_activity_cost,,single positional indexer is out-of-bounds
cost,cases,desired_activity_count,3,Success
cost,cases,direct_cost,,single positional indexer is out-of-bounds
cost,cases,fixed_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,labor_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,labor_cost_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,cases,maintenance_cost,0.0,Success
cost,cases,missed_deadline_cost,0.0,Success
cost,cases,overhead_cost,,single positional indexer is out-of-bounds
cost,cases,resource_count,2,Success
cost,cases,rework_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,rework_count,8,Success
cost,cases,rework_percentage,0.667,Success
cost,cases,total_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,total_cost_and_lead_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,cases,total_cost_and_outcome_unit_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,cases,total_cost_and_service_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,cases,transportation_cost,1.0,Success
cost,cases,variable_cost,,index 0 is out of bounds for axis 0 with size 0
cost,cases,warehousing_cost,0.0,Success
cost,groups,automated_activity_cost,,single positional indexer is out-of-bounds
cost,groups,desired_activity_count,8,Success
cost,groups,direct_cost,,single positional indexer is out-of-bounds
cost,groups,expected_automated_activity_cost,,single positional indexer is out-of-bounds
cost,groups,expected_desired_activity_count,2.667,Success
cost,groups,expected_direct_cost,,single positional indexer is out-of-bounds
cost,groups,expected_fixed_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_human_resource_count,2.667,Success
cost,groups,expected_inventory_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_labor_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_labor_cost_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_maintenance_cost,33.333,Success
cost,groups,expected_missed_deadline_cost,12.0,Success
cost,groups,expected_overhead_cost,,single positional indexer is out-of-bounds
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_rework_count,5.333,Success
cost,groups,expected_rework_percentage,0.556,Success
cost,groups,expected_total_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_total_cost_and_lead_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_total_cost_and_outcome_unit_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_total_cost_and_service_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_transportation_cost,0.667,Success
cost,groups,expected_variable_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,expected_warehousing_cost,9.333,Success
cost,groups,fixed_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,human_resource_and_case_count_ratio,2.667,Success
cost,groups,human_resource_count,8,Success
cost,groups,inventory_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,labor_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,labor_cost_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,maintenance_cost,100.0,Success
cost,groups,missed_deadline_cost,36.0,Success
cost,groups,overhead_cost,,single positional indexer is out-of-bounds
cost,groups,resource_count,2,Success
cost,groups,rework_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,rework_count,16,Success
cost,groups,rework_percentage,0.593,Success
cost,groups,total_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,total_cost_and_lead_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,total_cost_and_outcome_unit_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,total_cost_and_service_time_ratio,,index 0 is out of bounds for axis 0 with size 0
cost,groups,transportation_cost,2.0,Success
cost,groups,variable_cost,,index 0 is out of bounds for axis 0 with size 0
cost,groups,warehousing_cost,28.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,10.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,20.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,2.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,4.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.143,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,2.0,Success
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,4.0,Success
cost,instances,total_cost_and_lead_time_ratio,,single positional indexer is out-of-bounds
cost,instances,total_cost_and_outcome_unit_ratio,,"Error performing indicator division. Numerator value=14.0, denominator value=0"
cost,instances,total_cost_and_service_time_ratio,5600.0,Success
cost,instances,total_cost_for_single_events_of_activity_instances,14.0,Success
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,28.0,Success
cost,instances,variable_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,8.0,Success
flexibility,activities,activity_instance_and_human_resource_count_ratio,6.0,Success
flexibility,activities,client_count,6,Success
flexibility,activities,directly_follows_relations_count,,index 0 is out of bounds for axis 0 with size 0
flexibility,activities,human_resource_count,3,Success
flexibility,cases,activity_and_role_count_ratio,2.0,Success
flexibility,cases,activity_instance_and_human_resource_count_ratio,4.0,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,,index 0 is out of bounds for axis 0 with size 0
flexibility,cases,directly_follows_relations_count,,index 0 is out of bounds for axis 0 with size 0
flexibility,cases,human_resource_count,3,Success
flexibility,cases,optional_activity_count,4,Success
flexibility,cases,optionality,1.0,Success
flexibility,cases,role_count,2,Success
flexibility,cases,variant_case_coverage,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,activity_and_role_count_ratio,2.2,Success
flexibility,groups,activity_instance_and_human_resource_count_ratio,3.375,Success
flexibility,groups,client_count,3,Success
flexibility,groups,directly_follows_relations_and_activity_count_ratio,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,directly_follows_relations_count,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,expected_activity_and_role_count_ratio,2.2,Success
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,3.375,Success
flexibility,groups,expected_client_count,1.0,Success
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,expected_directly_follows_relations_count,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,expected_human_resource_count,2.667,Success
flexibility,groups,expected_optional_activity_count,3.667,Success
flexibility,groups,expected_optionality,1.0,Success
flexibility,groups,expected_role_count,1.667,Success
flexibility,groups,human_resource_count,8,Success
flexibility,groups,optional_activity_count,4,Success
flexibility,groups,optionality,0.364,Success
flexibility,groups,role_and_variant_count_ratio,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,role_count,5,Success
flexibility,groups,variant_case_coverage,,index 0 is out of bounds for axis 0 with size 0
flexibility,groups,variant_count,,index 0 is out of bounds for axis 0 with size 0
general,activities,activity_instance_count,18,Success
general,activities,human_resource_count,3,Success
general,activities,resource_count,2,Success
general,cases,activity_count,4,Success
general,cases,activity_instance_count,12,Success
general,cases,human_resource_count,3,Success
general,cases,resource_count,2,Success
general,cases,role_count,2,Success
general,groups,activity_count,11,Success
general,groups,activity_instance_count,27,Success
general,groups,case_count,3,Success
general,groups,expected_activity_count,3.667,Success
general,groups,expected_activity_instance_count,9.0,Success
general,groups,expected_human_resource_count,2.667,Success
general,groups,expected_resource_count,2.0,Success
general,groups,expected_role_count,1.667,Success
general,groups,human_resource_count,8,Success
general,groups,resource_count,6,Success
general,groups,role_count,5,Success
quality,activities,activity_instance_count_by_human_resource,,single positional indexer is out-of-bounds
quality,activities,client_count_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,activities,human_resource_count,3,Success
quality,activities,outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,activities,rework_count,5,Success
quality,activities,rework_count_by_value,5,Success
quality,activities,rework_percentage,0.278,Success
quality,activities,rework_percentage_by_value,0.278,Success
quality,activities,rework_time,,single positional indexer is out-of-bounds
quality,activities,successful_outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,activities,successful_outcome_unit_percentage,,index 0 is out of bounds for axis 0 with size 0
quality,activities,total_cost_and_client_count_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,cases,activity_instance_count_by_human_resource,,single positional indexer is out-of-bounds
quality,cases,activity_instance_count_by_role,,single positional indexer is out-of-bounds
quality,cases,automated_activity_count,3,Success
quality,cases,automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,cases,desired_activity_count,3,Success
quality,cases,human_resource_count,3,Success
quality,cases,non_automated_activity_count,1,Success
quality,cases,non_automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,cases,outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,cases,overall_quality,5.0,Success
quality,cases,repeatability,0.667,Success
quality,cases,rework_count,8,Success
quality,cases,rework_count_by_value,8,Success
quality,cases,rework_of_activities_subset,5,Success
quality,cases,rework_percentage,0.667,Success
quality,cases,rework_percentage_by_value,0.667,Success
quality,cases,rework_time,,single positional indexer is out-of-bounds
quality,cases,successful_outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,cases,successful_outcome_unit_percentage,,index 0 is out of bounds for axis 0 with size 0
quality,cases,unwanted_activity_count,3,Success
quality,cases,unwanted_activity_instance_count,,single positional indexer is out-of-bounds
quality,cases,unwanted_activity_instance_percentage,,single positional indexer is out-of-bounds
quality,cases,unwanted_activity_percentage,0.75,Success
quality,groups,activity_instance_count_by_human_resource,,single positional indexer is out-of-bounds
quality,groups,activity_instance_count_by_role,,single positional indexer is out-of-bounds
quality,groups,automated_activity_count,3,Success
quality,groups,automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,case_and_client_count_ratio,1.0,Success
quality,groups,case_count_where_activity_after_time_frame,0,Success
quality,groups,case_count_where_activity_before_time_frame,1,Success
quality,groups,case_count_where_activity_during_time_frame,1,Success
quality,groups,case_count_where_end_activity_is_a,0,Success
quality,groups,case_count_where_start_activity_is_a,1,Success
quality,groups,case_count_with_rework,3,Success
quality,groups,case_percentage_where_activity_after_time_frame,0.0,Success
quality,groups,case_percentage_where_activity_before_time_frame,0.333,Success
quality,groups,case_percentage_where_activity_during_time_frame,0.333,Success
quality,groups,case_percentage_where_end_activity_is_a,0.0,Success
quality,groups,case_percentage_where_start_activity_is_a,0.333,Success
quality,groups,case_percentage_with_missed_deadline,1,Success
quality,groups,case_percentage_with_rework,1.0,Success
quality,groups,client_count_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,groups,desired_activity_count,3,Success
quality,groups,expected_activity_instance_count_by_human_resource,,single positional indexer is out-of-bounds
quality,groups,expected_activity_instance_count_by_role,,single positional indexer is out-of-bounds
quality,groups,expected_automated_activity_count,2.667,Success
quality,groups,expected_automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,expected_client_count_and_total_cost_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,groups,expected_desired_activity_count,0.296,Success
quality,groups,expected_human_resource_count,0.296,Success
quality,groups,expected_non_automated_activity_count,0.111,Success
quality,groups,expected_non_automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,expected_outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,groups,expected_overall_quality,4.333,Success
quality,groups,expected_repeatability,0.593,Success
quality,groups,expected_rework_count,5.333,Success
quality,groups,expected_rework_count_by_value,5.333,Success
quality,groups,expected_rework_of_activities_subset,2.0,Success
quality,groups,expected_rework_percentage,0.556,Success
quality,groups,expected_rework_percentage_by_value,0.556,Success
quality,groups,expected_rework_time,,single positional indexer is out-of-bounds
quality,groups,expected_successful_outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,groups,expected_successful_outcome_unit_percentage,,index 0 is out of bounds for axis 0 with size 0
quality,groups,expected_total_cost_and_client_count_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,groups,expected_unwanted_activity_count,8,Success
quality,groups,expected_unwanted_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,expected_unwanted_activity_instance_percentage,,single positional indexer is out-of-bounds
quality,groups,expected_unwanted_activity_percentage,0.722,Success
quality,groups,human_resource_count,3,Success
quality,groups,non_automated_activity_count,1,Success
quality,groups,non_automated_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,groups,repeatability,0.593,Success
quality,groups,rework_count,16,Success
quality,groups,rework_count_by_value,16,Success
quality,groups,rework_of_activities_subset,6,Success
quality,groups,rework_percentage,0.593,Success
quality,groups,rework_percentage_by_value,0.593,Success
quality,groups,rework_time,,single positional indexer is out-of-bounds
quality,groups,successful_outcome_unit_count,,index 0 is out of bounds for axis 0 with size 0
quality,groups,successful_outcome_unit_percentage,,index 0 is out of bounds for axis 0 with size 0
quality,groups,total_cost_and_client_count_ratio,,index 0 is out of bounds for axis 0 with size 0
quality,groups,unwanted_activity_count,3,Success
quality,groups,unwanted_activity_instance_count,,single positional indexer is out-of-bounds
quality,groups,unwanted_activity_instance_percentage,,single positional indexer is out-of-bounds
quality,groups,unwanted_activity_percentage,0.273,Success
quality,instances,outcome_unit_count_for_single_events_of_activity_instances,0.0,Success
quality,instances,outcome_unit_count_for_sum_of_all_events_of_activity_instances,0.0,Success
quality,instances,successful_outcome_unit_count,0.0,Success
quality,instances,successful_outcome_unit_percentage,,"Error performing indicator division. Numerator value=0.0, denominator value=0.0"
time,activities,lead_time,,single positional indexer is out-of-bounds
time,activities,service_and_lead_time_ratio,,single positional indexer is out-of-bounds
time,activities,service_time,,single positional indexer is out-of-bounds
time,activities,waiting_time,,single positional indexer is out-of-bounds
time,cases,active_time,,single positional indexer is out-of-bounds
time,cases,activity_count,4,Success
time,cases,activity_instance_count,12,Success
time,cases,automated_activity_count,3,Success
time,cases,automated_activity_instance_count,,single positional indexer is out-of-bounds
time,cases,automated_activity_service_time,,single positional indexer is out-of-bounds
time,cases,handover_count,,single positional indexer is out-of-bounds
time,cases,idle_time,,single positional indexer is out-of-bounds
time,cases,lead_time,0 days 00:00:45,Success
time,cases,lead_time_deviation_from_deadline,2025-01-01T10:11:29.250000,Success
time,cases,lead_time_deviation_from_expectation,0 days 00:00:03.950000,Success
time,cases,lead_time_from_activity_a,0 days 00:00:39,Success
time,cases,lead_time_from_activity_a_to_b,,Success
time,cases,lead_time_to_activity_a,0 days 00:00:16,Success
time,cases,service_and_lead_time_ratio,,single positional indexer is out-of-bounds
time,cases,service_time,,single positional indexer is out-of-bounds
time,cases,service_time_from_activity_a_to_b,,Success
