dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,activities,human_resource_count,4,Success
cost,activities,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,activities,labor_cost,,Column 'cost:labor' is not present in event log.
cost,activities,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,activities,resource_count,1,Success
cost,activities,rework_cost,,Column 'cost:total' is not present in event log.
cost,activities,rework_count,58,Success
cost,activities,rework_percentage,0.69,Success
cost,activities,total_cost,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,automated_activity_cost,0,Success
cost,cases,desired_activity_count,0,Success
cost,cases,direct_cost,0,Success
cost,cases,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,cases,human_resource_count,7,Success
cost,cases,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,cases,labor_cost,,Column 'cost:labor' is not present in event log.
cost,cases,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,cases,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,cases,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,cases,overhead_cost,,Column 'cost:total' is not present in event log.
cost,cases,resource_count,8,Success
cost,cases,rework_cost,,Column 'cost:total' is not present in event log.
cost,cases,rework_count,7,Success
cost,cases,rework_percentage,0.438,Success
cost,cases,total_cost,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,cases,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,automated_activity_cost,0,Success
cost,groups,desired_activity_count,0,Success
cost,groups,direct_cost,0,Success
cost,groups,expected_automated_activity_cost,0.0,Success
cost,groups,expected_desired_activity_count,0.0,Success
cost,groups,expected_direct_cost,0.0,Success
cost,groups,expected_fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,expected_human_resource_count,7.333,Success
cost,groups,expected_inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,expected_labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,expected_labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,expected_maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,expected_missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,expected_overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_resource_count,6.333,Success
cost,groups,expected_rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_rework_count,6.0,Success
cost,groups,expected_rework_percentage,0.452,Success
cost,groups,expected_total_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,expected_variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,expected_warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,human_resource_and_case_count_ratio,7.333,Success
cost,groups,human_resource_count,22,Success
cost,groups,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,resource_count,10,Success
cost,groups,rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,rework_count,18,Success
cost,groups,rework_percentage,0.45,Success
cost,groups,total_cost,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,instances,fixed_cost_for_single_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,inventory_cost_for_single_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_single_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_single_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,variable_cost_for_single_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
flexibility,activities,activity_instance_and_human_resource_count_ratio,21.0,Success
flexibility,activities,client_count,,Column 'client' is not present in event log.
flexibility,activities,directly_follows_relations_count,10,Success
flexibility,activities,human_resource_count,4,Success
flexibility,cases,activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,cases,activity_instance_and_human_resource_count_ratio,2.286,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.222,Success
flexibility,cases,directly_follows_relations_count,11,Success
flexibility,cases,human_resource_count,7,Success
flexibility,cases,optional_activity_count,9,Success
flexibility,cases,optionality,1.0,Success
flexibility,cases,role_count,,Column 'org:role' is not present in event log.
flexibility,cases,variant_case_coverage,0.004,Success
flexibility,groups,activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,activity_instance_and_human_resource_count_ratio,1.818,Success
flexibility,groups,client_count,,Column 'client' is not present in event log.
flexibility,groups,directly_follows_relations_and_activity_count_ratio,0.955,Success
flexibility,groups,directly_follows_relations_count,21,Success
flexibility,groups,expected_activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,1.818,Success
flexibility,groups,expected_client_count,,Column 'client' is not present in event log.
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,1.136,Success
flexibility,groups,expected_directly_follows_relations_count,8.333,Success
flexibility,groups,expected_human_resource_count,7.333,Success
flexibility,groups,expected_optional_activity_count,7.333,Success
flexibility,groups,expected_optionality,1.0,Success
flexibility,groups,expected_role_count,,Column 'org:role' is not present in event log.
flexibility,groups,human_resource_count,22,Success
flexibility,groups,optional_activity_count,12,Success
flexibility,groups,optionality,0.545,Success
flexibility,groups,role_and_variant_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,role_count,,Column 'org:role' is not present in event log.
flexibility,groups,variant_case_coverage,0.013,Success
flexibility,groups,variant_count,3,Success
general,activities,activity_instance_count,84,Success
general,activities,human_resource_count,4,Success
general,activities,resource_count,1,Success
general,cases,activity_count,9,Success
general,cases,activity_instance_count,16,Success
general,cases,human_resource_count,7,Success
general,cases,resource_count,8,Success
general,cases,role_count,,Column 'org:role' is not present in event log.
general,groups,activity_count,22,Success
general,groups,activity_instance_count,40,Success
general,groups,case_count,3,Success
general,groups,expected_activity_count,7.333,Success
general,groups,expected_activity_instance_count,13.333,Success
general,groups,expected_human_resource_count,7.333,Success
general,groups,expected_resource_count,6.333,Success
general,groups,expected_role_count,,Column 'org:role' is not present in event log.
general,groups,human_resource_count,22,Success
general,groups,resource_count,19,Success
