dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,51.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,40.0,Success
cost,activities,labor_cost,29.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.242,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,31.0,Success
cost,activities,rework_count,7,Success
cost,activities,rework_percentage,0.389,Success
cost,activities,total_cost,120.0,Success
cost,activities,total_cost_and_lead_time_ratio,1559.567,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.649,Success
cost,activities,total_cost_and_service_time_ratio,3042.254,Success
cost,activities,variable_cost,69.0,Success
cost,cases,automated_activity_cost,13.0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,13.0,Success
cost,cases,fixed_cost,8.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,4.0,Success
cost,cases,labor_cost,16.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.571,Success
cost,cases,maintenance_cost,0.0,Success
cost,cases,missed_deadline_cost,86.0,Success
cost,cases,overhead_cost,15.0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,17.0,Success
cost,cases,rework_count,3,Success
cost,cases,rework_percentage,0.5,Success
cost,cases,total_cost,28.0,Success
cost,cases,total_cost_and_lead_time_ratio,1275.949,Success
cost,cases,total_cost_and_outcome_unit_ratio,1.75,Success
cost,cases,total_cost_and_service_time_ratio,1214.458,Success
cost,cases,transportation_cost,0.0,Success
cost,cases,variable_cost,20.0,Success
cost,cases,warehousing_cost,86.0,Success
cost,groups,automated_activity_cost,31.0,Success
cost,groups,desired_activity_count,3,Success
cost,groups,direct_cost,31.0,Success
cost,groups,expected_automated_activity_cost,10.333,Success
cost,groups,expected_desired_activity_count,1.0,Success
cost,groups,expected_direct_cost,10.333,Success
cost,groups,expected_fixed_cost,8.0,Success
cost,groups,expected_human_resource_count,2.0,Success
cost,groups,expected_inventory_cost,7.667,Success
cost,groups,expected_labor_cost,7.333,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.319,Success
cost,groups,expected_maintenance_cost,59.333,Success
cost,groups,expected_missed_deadline_cost,28.667,Success
cost,groups,expected_overhead_cost,12.667,Success
cost,groups,expected_resource_count,1.667,Success
cost,groups,expected_rework_cost,13.0,Success
cost,groups,expected_rework_count,1.667,Success
cost,groups,expected_rework_percentage,0.333,Success
cost,groups,expected_total_cost,23.0,Success
cost,groups,expected_total_cost_and_lead_time_ratio,,No start event found for case 10.
cost,groups,expected_total_cost_and_outcome_unit_ratio,2.029,Success
cost,groups,expected_total_cost_and_service_time_ratio,2855.172,Success
cost,groups,expected_transportation_cost,23.333,Success
cost,groups,expected_variable_cost,15.0,Success
cost,groups,expected_warehousing_cost,35.667,Success
cost,groups,fixed_cost,24.0,Success
cost,groups,human_resource_and_case_count_ratio,2.0,Success
cost,groups,human_resource_count,6,Success
cost,groups,inventory_cost,23.0,Success
cost,groups,labor_cost,22.0,Success
cost,groups,labor_cost_and_total_cost_ratio,0.319,Success
cost,groups,maintenance_cost,178.0,Success
cost,groups,missed_deadline_cost,86.0,Success
cost,groups,overhead_cost,38.0,Success
cost,groups,resource_count,2,Success
cost,groups,rework_cost,39.0,Success
cost,groups,rework_count,5,Success
cost,groups,rework_percentage,0.455,Success
cost,groups,total_cost,69.0,Success
cost,groups,total_cost_and_lead_time_ratio,,No start event found for case 10.
cost,groups,total_cost_and_outcome_unit_ratio,2.029,Success
cost,groups,total_cost_and_service_time_ratio,2855.172,Success
cost,groups,transportation_cost,70.0,Success
cost,groups,variable_cost,45.0,Success
cost,groups,warehousing_cost,107.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,9.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,27.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,0.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,2.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.182,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,2.0,Success
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,2.0,Success
cost,instances,total_cost_and_lead_time_ratio,1131.429,Success
cost,instances,total_cost_and_outcome_unit_ratio,,"Error performing indicator division. Numerator value=11.0, denominator value=0"
cost,instances,total_cost_and_service_time_ratio,1414.286,Success
cost,instances,total_cost_for_single_events_of_activity_instances,11.0,Success
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,31.0,Success
cost,instances,variable_cost_for_single_events_of_activity_instances,2.0,Success
