case:concept:name,concept:name,time:timestamp,human_resource,org:resource,outcome_unit,unsuccessful_outcome_unit,lifecycle:transition,concept:instance
Case 1,Turning & Milling - Machine 4,2012-01-29 23:24:00+00:00,ID4932,Machine 4 - Turning & Milling,1,0,start,i_1
Case 1,Turning & Milling - Machine 4,2012-01-30 05:43:00+00:00,ID4932,Machine 4 - Turning & Milling,1,0,complete,i_1
Case 1,Turning & Milling - Machine 4,2012-01-30 05:44:00+00:00,ID4932,Machine 4 - Turning & Milling,1,0,start,i_2
Case 1,Turning & Milling - Machine 4,2012-01-30 06:42:00+00:00,ID4932,Machine 4 - Turning & Milling,1,0,complete,i_2
Case 1,Turning & Milling - Machine 4,2012-01-30 06:59:00+00:00,ID4167,Machine 4 - Turning & Milling,0,0,start,i_3
Case 1,Turning & Milling - Machine 4,2012-01-30 07:21:00+00:00,ID4167,Machine 4 - Turning & Milling,8,0,start,i_4
Case 1,Turning & Milling - Machine 4,2012-01-30 07:21:00+00:00,ID4167,Machine 4 - Turning & Milling,0,0,complete,i_3
Case 1,Turning & Milling - Machine 4,2012-01-30 10:58:00+00:00,ID4167,Machine 4 - Turning & Milling,8,0,complete,i_4
Case 1,Turning & Milling Q.C.,2012-01-31 13:20:00+00:00,ID4163,Quality Check 1,9,1,start,i_5
Case 1,Turning & Milling Q.C.,2012-01-31 14:50:00+00:00,ID4163,Quality Check 1,9,1,complete,i_5
Case 1,Laser Marking - Machine 7,2012-02-01 08:18:00+00:00,ID0998,Machine 7- Laser Marking,9,0,start,i_6
Case 1,Laser Marking - Machine 7,2012-02-01 08:27:00+00:00,ID0998,Machine 7- Laser Marking,9,0,complete,i_6
Case 1,Lapping - Machine 1,2012-02-14 00:00:00+00:00,ID4882,Machine 1 - Lapping,0,0,start,i_7
Case 1,Lapping - Machine 1,2012-02-14 00:00:00+00:00,ID4882,Machine 1 - Lapping,0,0,start,i_8
Case 1,Lapping - Machine 1,2012-02-14 01:15:00+00:00,ID4882,Machine 1 - Lapping,0,0,complete,i_7
Case 1,Lapping - Machine 1,2012-02-14 01:15:00+00:00,ID4882,Machine 1 - Lapping,0,0,complete,i_8
Case 1,Lapping - Machine 1,2012-02-14 09:05:00+00:00,ID4882,Machine 1 - Lapping,1,0,start,i_9
Case 1,Lapping - Machine 1,2012-02-14 09:05:00+00:00,ID4882,Machine 1 - Lapping,8,0,start,i_10
Case 1,Round Grinding - Machine 3,2012-02-14 09:13:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,start,i_11
Case 1,Lapping - Machine 1,2012-02-14 09:38:00+00:00,ID4882,Machine 1 - Lapping,8,0,complete,i_9
Case 1,Lapping - Machine 1,2012-02-14 10:20:00+00:00,ID4882,Machine 1 - Lapping,1,0,complete,i_10
Case 1,Round Grinding - Machine 3,2012-02-14 13:37:00+00:00,ID4445,Machine 3 - Round Grinding,9,0,start,i_12
Case 1,Round Grinding - Machine 3,2012-02-14 13:37:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,complete,i_11
Case 1,Round Grinding - Machine 3,2012-02-14 15:27:00+00:00,ID4445,Machine 3 - Round Grinding,9,0,complete,i_12
Case 1,Final Inspection Q.C.,2012-02-16 06:59:00+00:00,ID4493,Quality Check 1,0,0,start,i_13
Case 1,Final Inspection Q.C.,2012-02-16 07:59:00+00:00,ID4493,Quality Check 1,0,0,complete,i_13
Case 1,Final Inspection Q.C.,2012-02-16 12:11:00+00:00,ID4493,Quality Check 1,0,0,start,i_14
Case 1,Final Inspection Q.C.,2012-02-16 12:43:00+00:00,ID4493,Quality Check 1,9,0,start,i_15
Case 1,Final Inspection Q.C.,2012-02-16 13:58:00+00:00,ID4493,Quality Check 1,9,0,complete,i_14
Case 1,Final Inspection Q.C.,2012-02-16 16:12:00+00:00,ID4493,Quality Check 1,0,0,complete,i_15
Case 1,Packing,2012-02-17 00:00:00+00:00,ID4820,Packing,9,0,start,i_16
Case 1,Packing,2012-02-17 01:00:00+00:00,ID4820,Packing,9,0,complete,i_16
