dimension,granularity,indicator_name,status,result
cost,activities,fixed_cost,success,318.0
cost,activities,human_resource_count,success,3
cost,activities,inventory_cost,success,96.0
cost,activities,labor_cost,success,133.0
cost,activities,labor_cost_and_total_cost_ratio,success,0.24314442413162707
cost,activities,resource_count,success,2
cost,activities,rework_cost,success,388.0
cost,activities,rework_count,success,49
cost,activities,rework_percentage,success,0.7313432835820896
cost,activities,total_cost,success,547.0
cost,activities,total_cost_and_lead_time_ratio,success,2230.124575311438
cost,activities,total_cost_and_outcome_unit_ratio,success,0.46199324324324326
cost,activities,total_cost_and_service_time_ratio,success,3808.8974855005977
cost,activities,variable_cost,success,229.0
cost,cases,automated_activity_cost,success,86.0
cost,cases,desired_activity_count,success,2
cost,cases,direct_cost,success,44.0
cost,cases,fixed_cost,success,46.0
cost,cases,human_resource_count,success,3
cost,cases,inventory_cost,success,22.0
cost,cases,labor_cost,success,28.0
cost,cases,labor_cost_and_total_cost_ratio,success,0.2916666666666667
cost,cases,maintenance_cost,success,57.0
cost,cases,missed_deadline_cost,success,70.0
cost,cases,overhead_cost,success,52.0
cost,cases,resource_count,success,2
cost,cases,rework_cost,success,64.0
cost,cases,rework_count,success,5
cost,cases,rework_percentage,success,0.5555555555555556
cost,cases,total_cost,success,96.0
cost,cases,total_cost_and_lead_time_ratio,success,5760.0
cost,cases,total_cost_and_outcome_unit_ratio,success,0.375
cost,cases,total_cost_and_service_time_ratio,success,11520.0
cost,cases,transportation_cost,success,0.0
cost,cases,variable_cost,success,50.0
cost,cases,warehousing_cost,success,0.0
cost,groups,automated_activity_cost,success,129.0
cost,groups,desired_activity_count,success,6
cost,groups,direct_cost,success,109.0
cost,groups,expected_automated_activity_cost,success,43.0
cost,groups,expected_desired_activity_count,success,2.0
cost,groups,expected_direct_cost,success,36.333333333333336
cost,groups,expected_fixed_cost,success,35.666666666666664
cost,groups,expected_human_resource_count,success,3.0
cost,groups,expected_inventory_cost,success,12.333333333333334
cost,groups,expected_labor_cost,success,19.666666666666668
cost,groups,expected_labor_cost_and_total_cost_ratio,success,0.29064039408866993
cost,groups,expected_maintenance_cost,success,36.0
cost,groups,expected_missed_deadline_cost,success,48.0
cost,groups,expected_overhead_cost,success,31.333333333333332
cost,groups,expected_resource_count,success,2.0
cost,groups,expected_rework_cost,success,32.666666666666664
cost,groups,expected_rework_count,success,5.0
cost,groups,expected_rework_percentage,success,0.5851851851851851
cost,groups,expected_total_cost,success,67.66666666666667
cost,groups,expected_total_cost_and_lead_time_ratio,success,5182.978723404255
cost,groups,expected_total_cost_and_outcome_unit_ratio,success,0.32222222222222224
cost,groups,expected_total_cost_and_service_time_ratio,success,6039.669421487603
cost,groups,expected_transportation_cost,success,0.0
cost,groups,expected_variable_cost,success,32.0
cost,groups,expected_warehousing_cost,success,17.0
cost,groups,fixed_cost,success,107.0
cost,groups,human_resource_and_case_count_ratio,success,3.0
cost,groups,human_resource_count,success,9
cost,groups,inventory_cost,success,37.0
cost,groups,labor_cost,success,59.0
cost,groups,labor_cost_and_total_cost_ratio,success,0.29064039408866993
cost,groups,maintenance_cost,success,108.0
cost,groups,missed_deadline_cost,success,144.0
cost,groups,overhead_cost,success,94.0
cost,groups,resource_count,success,2
cost,groups,rework_cost,success,98.0
cost,groups,rework_count,success,15
cost,groups,rework_percentage,success,0.6
cost,groups,total_cost,success,203.0
cost,groups,total_cost_and_lead_time_ratio,success,4176.0
cost,groups,total_cost_and_outcome_unit_ratio,success,0.32222222222222224
cost,groups,total_cost_and_service_time_ratio,success,6039.669421487603
cost,groups,transportation_cost,success,0.0
cost,groups,variable_cost,success,96.0
cost,groups,warehousing_cost,success,51.0
cost,instances,fixed_cost_for_single_events_of_activity_instances,success,2.0
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,success,4.0
cost,instances,inventory_cost_for_single_events_of_activity_instances,success,1.0
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,success,2.0
cost,instances,labor_cost_and_total_cost_ratio,success,0.625
cost,instances,labor_cost_for_single_events_of_activity_instances,success,5.0
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,success,10.0
cost,instances,total_cost_and_lead_time_ratio,"Error performing indicator division. Numerator value=8.0, denominator value=0.0",
cost,instances,total_cost_and_outcome_unit_ratio,"Error performing indicator division. Numerator value=8.0, denominator value=0",
cost,instances,total_cost_and_service_time_ratio,"Error performing indicator division. Numerator value=8.0, denominator value=0.0",
cost,instances,total_cost_for_single_events_of_activity_instances,success,8.0
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,success,16.0
cost,instances,variable_cost_for_single_events_of_activity_instances,success,6.0
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,success,12.0
flexibility,activities,activity_instance_and_human_resource_count_ratio,success,22.333333333333332
flexibility,activities,client_count,success,6
flexibility,activities,directly_follows_relations_count,success,4
flexibility,activities,human_resource_count,success,3
flexibility,cases,activity_and_role_count_ratio,success,2.0
flexibility,cases,activity_instance_and_human_resource_count_ratio,success,3.0
flexibility,cases,directly_follows_relations_and_activity_count_ratio,success,1.75
flexibility,cases,directly_follows_relations_count,success,7
flexibility,cases,human_resource_count,success,3
flexibility,cases,optional_activity_count,success,4
flexibility,cases,optionality,success,1.0
flexibility,cases,role_count,success,2
flexibility,cases,variant_case_coverage,success,0.05
flexibility,groups,activity_and_role_count_ratio,success,1.6666666666666667
flexibility,groups,activity_instance_and_human_resource_count_ratio,success,2.7777777777777777
flexibility,groups,client_count,success,3
flexibility,groups,directly_follows_relations_and_activity_count_ratio,success,1.1
flexibility,groups,directly_follows_relations_count,success,11
flexibility,groups,expected_activity_and_role_count_ratio,success,1.6666666666666667
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,success,2.7777777777777777
flexibility,groups,expected_client_count,success,1.0
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,success,1.7
flexibility,groups,expected_directly_follows_relations_count,success,5.666666666666667
flexibility,groups,expected_human_resource_count,success,3.0
flexibility,groups,expected_optional_activity_count,success,3.3333333333333335
flexibility,groups,expected_optionality,success,1.0
flexibility,groups,expected_role_count,success,2.0
flexibility,groups,human_resource_count,success,9
flexibility,groups,optional_activity_count,unhashable type: 'Series',
flexibility,groups,optionality,unhashable type: 'Series',
flexibility,groups,role_and_variant_count_ratio,success,2.0
flexibility,groups,role_count,success,6
flexibility,groups,variant_case_coverage,success,0.15
flexibility,groups,variant_count,success,3
general,activities,activity_instance_count,success,67
general,activities,human_resource_count,success,3
general,activities,resource_count,success,2
general,cases,activity_count,success,4
general,cases,activity_instance_count,success,9
general,cases,human_resource_count,success,3
general,cases,resource_count,success,2
general,cases,role_count,success,2
general,groups,activity_count,success,10
general,groups,activity_instance_count,success,25
general,groups,case_count,success,3
general,groups,expected_activity_count,success,3.3333333333333335
general,groups,expected_activity_instance_count,success,8.333333333333334
general,groups,expected_human_resource_count,success,3.0
general,groups,expected_resource_count,success,2.0
general,groups,expected_role_count,success,2.0
general,groups,human_resource_count,success,9
general,groups,resource_count,success,6
general,groups,role_count,success,6
quality,activities,activity_instance_count_by_human_resource,success,21
quality,activities,client_count_and_total_cost_ratio,success,0.010968921389396709
quality,activities,human_resource_count,success,3
quality,activities,outcome_unit_count,success,1184.0
quality,activities,rework_count,success,49
quality,activities,rework_count_by_value,success,49
quality,activities,rework_percentage,success,0.7313432835820896
quality,activities,rework_percentage_by_value,success,0.7313432835820896
quality,activities,rework_time,success,0 days 00:13:41
quality,activities,successful_outcome_unit_count,success,994.0
quality,activities,successful_outcome_unit_percentage,success,0.839527027027027
quality,activities,total_cost_and_client_count_ratio,success,91.16666666666667
quality,cases,activity_instance_count_by_human_resource,success,4
quality,cases,activity_instance_count_by_role,success,4
quality,cases,automated_activity_count,success,2
quality,cases,automated_activity_instance_count,success,7
quality,cases,desired_activity_count,success,2
quality,cases,human_resource_count,success,3
quality,cases,non_automated_activity_count,success,2
quality,cases,non_automated_activity_instance_count,success,2
quality,cases,outcome_unit_count,success,256.0
quality,cases,overall_quality,success,2.0
quality,cases,repeatability,success,0.5555555555555556
quality,cases,rework_count,success,5
quality,cases,rework_count_by_value,success,5
quality,cases,rework_of_activities_subset,success,3
quality,cases,rework_percentage,success,0.5555555555555556
quality,cases,rework_percentage_by_value,success,0.5555555555555556
quality,cases,rework_time,success,0 days 00:00:35
quality,cases,successful_outcome_unit_count,success,166.0
quality,cases,successful_outcome_unit_percentage,success,0.6484375
quality,cases,unwanted_activity_count,success,0
quality,cases,unwanted_activity_instance_count,success,0
quality,cases,unwanted_activity_instance_percentage,success,0.0
quality,cases,unwanted_activity_percentage,success,0.0
quality,groups,activity_instance_count_by_human_resource,success,10
quality,groups,activity_instance_count_by_role,success,10
quality,groups,automated_activity_count,success,2
quality,groups,automated_activity_instance_count,success,15
quality,groups,case_and_client_count_ratio,success,1.0
quality,groups,case_count_where_activity_after_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_activity_before_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_activity_during_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_where_start_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_with_rework,success,3
quality,groups,case_percentage_where_activity_after_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_activity_before_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_activity_during_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_percentage_where_start_activity_is_a,Missing required args: ['a_activity_name'],
